severity,category,check,file,line,element,measure_n,staff_n,layer_n,xml_id,message,expected,actual,context
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17299,layer,164,5.0,,q12zjeld,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17309,layer,165,1.0,,o16mazxz,Layer is overfull against the active meter.,16.0,17,
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17330,layer,165,2.0,,h1ljq1fo,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17361,layer,165,4.0,,i1gp1g2l,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17375,layer,165,5.0,,u1ofzwy1,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17433,layer,166,4.0,,ktnkv4f,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17449,layer,166,5.0,,w1wzxofu,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17515,layer,167,4.0,,mzylwiv,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17535,layer,167,5.0,,b1c9378y,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17611,layer,168,4.0,,s6mol8d,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17633,layer,168,5.0,,kgmcsf0,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_overfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17643,layer,169,1.0,,filgvmh,Layer is overfull against the active meter.,16.0,18,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17687,layer,169,4.0,,c6qwgyj,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17699,layer,169,4.0,,o1js0rkd,Layer is underfull against the active meter.,16.0,12,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17709,layer,169,5.0,,v1c210ga,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17771,layer,170,4.0,,lzu9jo3,Layer is underfull against the active meter.,16.0,14,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17786,layer,170,4.0,,y1erm1os,Layer is underfull against the active meter.,16.0,14,
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17805,layer,170,5.0,,mw1l41d,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17876,layer,171,4.0,,c4rkt4z,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
warning,rhythm,layer_duration_underfull,11_buxtehude_sonatas_final/buxtehude_op2_03_sonata_g_minor_corr.mei,17906,layer,171,5.0,,b6zqjdf,Layer is underfull against the active meter.,16.0,12,No <space> found in this layer; a missing space/rest is a likely cause.
